POS_CTRL_1	SITE_A
POS_CTRL_2	SITE_B
S001	SITE_B
S002	SITE_B
S003	SITE_C
S004	SITE_C
S005	SITE_D
S006	SITE_D
S007	SITE_A
S008	SITE_A
S009	SITE_B
S010	SITE_B
S011	SITE_C
S012	SITE_C
S013	SITE_D
S015	SITE_A
S016	SITE_A
S017	SITE_B
S018	SITE_B
S019	SITE_C
S020	SITE_C
S021	SITE_D
S022	SITE_D
S023	SITE_A
S024	SITE_A
S025	SITE_B
S026	SITE_B
S027	SITE_C
S028	SITE_C
S029	SITE_D
S030	SITE_D
S031	SITE_A
S032	SITE_A
S033	SITE_B
S034	SITE_B
S035	SITE_C
S036	SITE_C
S038	SITE_D
S039	SITE_A
S040	SITE_A
S041	SITE_B
S042	SITE_B
S043	SITE_C
S044	SITE_C
S045	SITE_D
S046	SITE_D
S047	SITE_A
S048	SITE_A
S049	SITE_B
S050	SITE_B
S051	SITE_C
S052	SITE_C
S053	SITE_D
S054	SITE_D
S055	SITE_A
S056	SITE_A
S057	SITE_B
S059	SITE_C
S060	SITE_C
S062	SITE_D
S063	SITE_A
S064	SITE_A
S065	SITE_B
S066	SITE_B
S067	SITE_C
S068	SITE_C
S069	SITE_D
S070	SITE_D
S071	SITE_A
S072	SITE_A
S073	SITE_B
S074	SITE_B
S075	SITE_C
S076	SITE_C
S078	SITE_D
S079	SITE_A
S080	SITE_A
S081	SITE_B
S082	SITE_B
S083	SITE_C
S084	SITE_C
S085	SITE_D
S086	SITE_D
S087	SITE_A
S088	SITE_A
S089	SITE_B
S090	SITE_B
S091	SITE_C
S092	SITE_C
S093	SITE_D
S094	SITE_D
